"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-07,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",13,"7.69%",52.94,1,52.94,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-02,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",13,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"86.67%",3.2
2015-02-28,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",43,"27.91%",8.905,12,106.86,0,"0.00%",0,"25.00%",3,0,"100.00%",1
2015-03-28,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",24,"4.17%",1.14,1,1.14,0,"0.00%",0,"0.00%",0,0,"100.00%",1.3
2015-02-17,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"20.00%",11
2015-02-15,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",6,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"66.67%",1.8
2015-03-10,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",50,"20.00%",9.132,10,91.32,0,"0.00%",0,"10.00%",1,0,"100.00%",1
2015-02-12,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",15,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1.1
2015-02-19,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"72.73%",1.3
2015-02-17,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",55,"5.45%",52.513333,3,157.54,0,"0.00%",0,"33.33%",1,0,"94.83%",1.3
2015-02-23,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",16,"6.25%",21.43,1,21.43,0,"0.00%",0,"0.00%",0,0,"80.00%",1.6
2015-03-05,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",36,"19.44%",27.072857,7,189.51,0,"0.00%",1,"28.57%",3,0,"100.00%",1.1
2015-02-27,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",35,"22.86%",21.4325,8,171.46,0,"0.00%",1,"50.00%",5,0,"100.00%",1
2015-02-19,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",53,"7.55%",22.6525,4,90.61,0,"0.00%",1,"25.00%",1,0,"98.15%",1.1
2015-03-08,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",25,"20.00%",21.25,5,106.25,0,"0.00%",1,"20.00%",1,0,"100.00%",1
2015-03-06,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",76,"27.63%",19.196667,21,403.13,0,"0.00%",1,"14.29%",4,0,"98.70%",1
2015-03-16,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",7,"14.29%",36.39,1,36.39,0,"0.00%",0,"0.00%",0,0,"100.00%",1
