Campaign,Client
URBAN DEGCHI RETARGET,Urban Degchi- Kitchen & Bar
VijayavadaStyleRestaurant,Vijayawada Style
VijayavadaStyleRestaurant - Display,Vijayawada Style
VIVA-15%,Viva Hyderabad
VIVA-Display,Viva Hyderabad
VIVA-Remarketing,Viva Hyderabad
Wok - Search,Wok
YO China - DISPLAY,Yo! China
YO CHINA -SEARCH,Yo! China
Yo China-Display,Yo! China
,Yoga Cafe
,Yumm Biryani
,Zaika Take Away
Zambar,Zambar Coastal Kitchen
Zambar-D,Zambar Coastal Kitchen
,Aditi & Nandita Food Corner
,Ardent Delicatessen 
,Asia 7
,Baked Beauty
Baker Street,Baker Street
Bakers Street-D,Baker Street
,Biryani Boxx
Cafe 5- DISPLAY,Cafe Five
Cafe Five,Cafe Five
,Cafe Unity
,Chawla's 2
,Chick 'N' Salsa
,Desi Mangoes
Desi Tadka,Desi Tadka
Desi Tadka Display,Desi Tadka
,Divine Curries
Fresc co Text,Fresc Co
Fresx Co Dispaly,Fresc Co
,Fresh n Refresh
G Dot Text,G-Dot
GDot Display,G-Dot
,Grand Eatery
,Grandma's Kitchen
Not Just Desserts : Text,Just Desserts
,Just Shawarma
,Karo Dhan
Khana Pina : Text,Khana Pina
,King Chilli
,Kshatriya's
,London Cafe
,Maachh Bhaat
MYMYKITCHEN,My My Kitchen
,Nibelette
Pep Box,Pep Box
,Plan B
Quick Bakes: Text,Quick Bakes
Rotti Mane,Rotti Mane
Shawarma Factory: Text,Shawarma Factory
,Street Pizza
Subhub,Sub Hub
,Taxi World Food Cafe
Phrase & Exact,Temptations
Sugar Cube Display,The Sugar Cube
Sugar Cube Text,The Sugar Cube
Tilpy's Kitchen,Tilpy's Kitchen
Tilpy's Kitchen-D,Tilpy's Kitchen
Turban T Display,Turban Tadka
Turban Tadka,Turban Tadka
Offer,Turban Tadka
Cafe Style Dhaba,Misc
DILLICIOUSLY DELHI - DELHI,Misc
Dilliciously delhi gurgaon-search,Misc
Dilliciously Delhi- Noida,Misc
Dilliciously delhi noida-search,Misc
Dilliciously delhi-delhi-search,Misc
DILLICIOUSLY DELHI-GURGAON,Misc
FOOD TRIP,Misc
Food Trip-Display,Misc
Jothi's,Misc
Midnight Express,Misc
Pure Punjabi,Misc
Pure Punjabi Display,Misc
RUMI,Misc
Text,Misc
